Fuel Type Code,Station Name,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Chelsea29 - Tesla Destination,221 W 29th St,New York,NY,10001,E,Public,,,0,6,0,Tesla Destination,GPS,40.748395,-73.9937,2024-07-01,358788,2024-10-16,P,,,,J1772 TESLA
ELEC,Red Ball Garage,142 E 31st Street,New York,NY,10016,E,Public,24 hours daily,,0,1,0,Blink Network,GPS,40.744731,-73.981125,2024-10-29,187816,2024-10-29,,,,2021-04-20,J1772
ELEC,PPC STATION 2,Point Place Casino 450 St Route 31,Bridgeport,NY,13030,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.153646,-75.965958,2024-10-29,162272,2024-10-29,,,,2020-06-12,J1772
ELEC,ATRIUM EVCHARGE EV4,451 Clifton Park Center Rd,Clifton Park,NY,12065,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.85626,-73.785875,2024-10-29,225563,2024-10-29,,,,2022-08-16,J1772
ELEC,BA PLAZA BA PLAZA 2,1 Northwestern Blvd,Albany,NY,12211,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.745908,-73.821081,2024-10-29,182190,2024-10-29,,,,2021-01-27,J1772
ELEC,MARKET 32 EV MARKET GLENMONT,329 Town Square Plaza,Glenmont,NY,12077,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.602394,-73.79083,2024-10-29,152276,2024-10-29,,,,2020-01-08,J1772
ELEC,Beacon Center,223 Main Street,Beacon,NY,12508,E,Public,24 hours daily,,0,2,0,EV Connect,GPS,41.507025,-73.974142,2024-10-29,123085,2024-10-29,,,,2019-04-01,J1772
ELEC,iPark 530 E 80th Street - Tesla Destination,530 E 80th St,New York,NY,10075,E,Public,,,0,3,0,Tesla Destination,200-8,40.771382,-73.948344,2024-07-01,115151,2024-10-16,P,,,2017-03-10,J1772 TESLA
ELEC,REGENERON CHARGE # 1,401 Temple Ln,Rensselaer,NY,12144,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.637187,-73.716777,2024-10-29,314719,2024-10-29,,,,2023-10-21,J1772
ELEC,TIOGA HOTEL CASINO 1,NY-17,Nichols,NY,13812,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.024208,-76.41078,2024-10-29,162353,2024-10-29,,,,2020-06-12,J1772
ELEC,CLARKSTOWN TOC 13 AND 14,10 Maple Avenue,New City,NY,10956,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,41.14629,-73.987477,2024-10-29,322232,2024-10-29,,,,2023-12-07,J1772
ELEC,King's County Parking,581 Clarkson Ave,Brooklyn,NY,11203,E,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,0,4,0,AMPUP,200-9,40.656148,-73.940355,2022-10-11,229922,2023-02-14,P,,,2022-09-15,J1772
ELEC,Gunlocke Company LLC,One Gunlocke Drive,Wayland,NY,14572,E,Public,24 hours daily,,0,4,0,EV Connect,GPS,42.555384,-77.589129,2024-10-29,155031,2024-10-29,,,,2018-08-09,J1772
ELEC,BCH STATION1,224 E Main St,Springville,NY,14141,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,42.508937,-78.659227,2024-10-29,197669,2024-10-29,,,,2021-10-13,J1772
ELEC,Westchester Country Club,99 Biltmore Ave,Rye,NY,10580,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,41.00071,-73.69916,2024-10-29,223139,2024-10-29,,,,2021-10-30,J1772
ELEC,BMW FREEPORT STATION 01,100 Cleveland Ave,Freeport,NY,11520,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,40.654208,-73.569134,2024-10-29,162449,2024-10-29,,,,2020-06-12,J1772
ELEC,Cliff's Elbow Too,1085 Franklinville Rd,Laurel,NY,11948,E,Public,24 hours daily,,0,1,0,Non-Networked,200-8,40.968038,-72.562787,2023-09-14,64705,2024-01-31,P,,,2014-08-01,J1772
ELEC,Schenectady County - 420 Broadway,420 Broadway,Schenectady,NY,12305,E,Public,24 hours daily,,0,6,0,LIVINGSTON,GPS,42.80785,-73.94601,2024-10-29,189503,2024-10-29,,,,2021-04-30,J1772
ELEC,SSCCA SSCC - 02,37 High Rock Ave,Saratoga Springs,NY,12866,E,Public,24 hours daily,,0,2,0,ChargePoint Network,GPS,43.084467,-73.782677,2024-10-29,171216,2024-10-29,,,,2021-01-09,J1772
ELEC,32 Burling Lane,32 Burling Lane,New Rochelle,NY,10801,E,Public,24 hours daily,,0,4,0,LIVINGSTON,GPS,40.9129,-73.78588,2024-10-29,223237,2024-10-29,,,,2022-03-23,J1772
ELEC,799 SENECA STATION 15,799 Seneca St,Buffalo,NY,14210,E,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,0,1,0,ChargePoint Network,GPS,42.875107,-78.847289,2024-10-29,191254,2024-10-29,,,,2021-06-19,J1772
ELEC,Icon Parking 16 W 16th Street - Tesla Destination,16 W 16th St,New York,NY,10011,E,Public,,,0,3,0,Tesla Destination,200-8,40.737891,-73.994058,2024-07-01,115026,2024-10-16,P,,,2016-01-21,J1772 TESLA
ELEC,GOLDSTEIN BUICK CPE-1-L,1673 Central Ave,Albany,NY,12205,E,Public,24 hours daily,,0,0,1,ChargePoint Network,GPS,42.72235,-73.837847,2024-10-29,238514,2024-10-29,,,,2022-12-21,CHADEMO J1772COMBO
