id,station_name,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,latitude,longitude
94856,Taste NY Market at Todd Hill,Poughkeepsie,NY,0,2,0,41.682561,-73.78534
162340,BEDFORDEV MEMORIAL PARK 1,Bedford,NY,0,2,0,41.197058,-73.644729
310454,TOYOTA LEVEL 3 CPE250-1,Valley Stream,NY,0,0,1,40.663266,-73.71502
181108,PICOTTE 22 CORPORATE 2,Albany,NY,0,2,0,42.681545,-73.768265
223143,Alexander Apartments 1-4,Albany,NY,0,4,0,42.68294,-73.80562
147217,24 STATE STREET SPIEGEL CENTER,Pittsford,NY,0,2,0,43.089355,-77.51962
114908,1 Hotel Brooklyn Bridge - Tesla Destination,Brooklyn,NY,0,7,0,40.701461,-73.995566
162277,TOWN OF BABYLON TOWN HALL 2,Lindenhurst,NY,0,1,0,40.704729,-73.375555
341924,Acura Service Chargers,Valley Stream,NY,0,0,4,40.67184,-73.72199
191108,Courtyard by Marriott,Lake George,NY,0,4,0,43.42736,-73.71285
194077,Willis Row - Tesla Supercharger,Roslyn Heights,NY,0,0,8,40.77943,-73.65012
202631,Boiler ER Lot,Buffalo,NY,0,2,0,42.927789,-78.847434
307624,TARGET T1148 STATION 2,Bay Shore,NY,0,2,0,40.726965,-73.277177
324867,TDC Building 14,Plattsburgh,NY,0,2,0,44.70706,-73.54004
236738,TOWN OF MANLIUS TOWN HALL 2,Fayetteville,NY,0,2,0,43.032595,-76.012763
202127,WATERVLIET PARK 1,Watervliet,NY,0,2,0,42.729761,-73.698586
207729,1 WATERLINE STATION#8,New York,NY,0,2,0,40.772871,-73.992514
349088,Enel X - Botnick Chevrolet,Binghamton,NY,0,0,1,42.10231,-75.91714
213092,CMH STATION 1,Hudson,NY,0,2,0,42.246589,-73.778701
162299,VILLAGE HF HGHLAND FALLS,Highland Falls,NY,0,2,0,41.37257,-73.964104
222819,Country Glen Center,Carle Place,NY,0,2,0,40.74434,-73.620096
114921,Best Western University Inn - Tesla Destination,Canton,NY,0,3,0,44.596426,-75.14905
346945,Tanger - Riverhead,Riverhead,NY,0,4,0,40.921572,-72.716713
169201,"The Standard, East Village - Tesla Destination",New York,NY,0,3,0,40.727797,-73.990746
155617,MARKET 32 EV NOTTST EV2,Schenectady,NY,0,2,0,42.822025,-73.93199
216452,BMWHV SHOP STATION,Poughkeepsie,NY,0,2,0,41.630969,-73.914406
117325,Village of Kinderhook,Kinderhook,NY,0,2,0,42.395119,-73.696947
181728,RTS BAYTOWNE 1,Webster,NY,0,2,0,43.192298,-77.498984
201186,SYR AUTO WORKS STATION 1,Syracuse,NY,0,2,0,43.047512,-76.176803
143251,HUDSON PRESERVE BLDG 19 #13,Watervliet,NY,0,2,0,42.732864,-73.72669
175059,CLARKSTOWN TOC 1 & 2,New City,NY,0,2,0,41.147003,-73.988106
185239,CAPCOMFCU CHRGPOINT CT4 2,Albany,NY,0,2,0,42.719147,-73.795407
217408,35-58 72nd St,Jackson Heights,NY,0,2,0,40.74894,-73.893721
223588,Supercharge NYC,Brooklyn,NY,0,0,4,40.713589,-73.933059
227689,Downtown Plattsburgh Public Parking,Plattsburgh,NY,0,2,0,44.698236,-73.453527
115076,Standard Parking 270 Greenwich - Tesla Destination,New York,NY,0,3,0,40.715071,-74.012203
114937,Hampton Inn LaGuardia Airport - Tesla Destination,East Elmhurst,NY,0,1,0,40.767948,-73.867784
325991,SWTCH Energy Inc.,Schenectady,NY,0,8,0,42.8263,-73.9057
183178,COLL BROCKPORT FINEARTS LOT G1,Brockport,NY,0,2,0,43.213812,-77.947162
